#{"t_start": 1748610403.31097, "env_id": "None"}
r,l,t
-3695.569437,720,3.684575
-3586.374047,720,4.902948
-3261.034142,720,6.186706
-3417.27381,720,7.466784
-2755.088058,720,8.939194
-3138.128538,720,10.844308
-3429.429275,720,12.385575
-4229.617615,720,14.097873
-3123.901823,720,15.717491
-4198.313239,720,17.537413
-3799.363573,720,19.471258
-4311.061201,720,21.091191
-2016.356009,720,22.457341
-3292.207411,720,148.223305
-3591.402365,720,963.610307
-3007.616257,720,1598.133532
-2200.154044,720,2356.938689
712.235561,720,3078.951904
-253.107472,720,3777.803136
-1247.592605,720,4395.650864
68.098955,720,5100.405659
-834.807895,720,9224.046765
-5281.914039,501,9638.003769
1345.489384,720,10243.596035
-3078.125877,720,10865.334744
1655.984712,720,11567.719351
3162.102714,720,12184.082639
1291.609996,720,12846.879132
345.296729,720,13435.699079
-748.988624,720,14093.072005
-1269.09383,720,14757.384031
-1411.226402,720,15419.945188
1093.360957,720,16142.358648
-3305.796569,720,16780.716525
-488.087471,720,17396.075517
-1036.220092,720,17980.497426
-2608.216893,720,18620.667154
-1651.743697,720,19330.915735
-1837.220801,720,20092.484065
-1299.484245,720,20939.407037
-1500.25191,720,21781.129596
2134.14651,720,22520.235731
